Dimension,Function,Adam Mean,Adam Std,Hybrid Mean,Hybrid Std,P-Value,Gain (%),All_Adam,All_Hybrid,log_p
5,rastrigin,7.48450482785892,11.133190747600162,-13.906978806806162,9.776874866841819,0.0017062493689195964,285.81027234003943,"[-4.156405661310785, 15.742527025584065, 26.68700076711267, 14.74764949157118, 3.803236523082937, 8.777884474609545, 3.8032365230829352, 19.722358216138154, -5.151303945363715, -9.131135135917802]","[-14.105920345746107, -24.05548064432641, -26.045378561798536, 6.788047883503371, -7.141399894177901, -25.050419504705246, -15.100925016984377, -13.111006902797797, -17.090777320311524, -4.156527760717097]",-2.767957496245081
5,ackley,8.556714388854429,1.169233552372588,9.070572266259166,1.0985440403428346,0.25666036991585695,-6.005317625349408,"[8.774536560485451, 9.073912503740146, 8.191688302724877, 8.366846305590036, 8.101224085225839, 9.61447673713393, 10.952916803274237, 6.820103866400327, 8.85140491903388, 6.820033804935564]","[9.2158243841639, 9.353025755415956, 7.717858510494613, 6.820033804935564, 9.001076993290745, 8.366855424160121, 9.485824521018626, 10.520069196270267, 9.8603039607564, 10.364850112085474]",-0.5906411841355261
5,schwefel,1592.6638486317265,414.3969594901917,2075.1879918735785,4.547473508864641e-13,0.017187093921295943,-30.296672060214743,"[1105.1022600328909, 1637.231365434201, 2191.249495486831, 2343.019105885934, 1711.1573767031377, 1611.029723614885, 1156.3739276156782, 1225.940976661456, 1165.9732093652533, 1779.5610455169995]","[2075.187991873578, 2075.187991873578, 2075.187991873578, 2075.187991873578, 2075.187991873578, 2075.187991873578, 2075.187991873578, 2075.187991873578, 2075.187991873578, 2075.187991873578]",-1.7647975497608634
5,griewank,0.013548664642186537,0.0062514711191683685,0.01478174584192432,0.005828426373690724,0.5934897171440483,-9.101126504283448,"[0.009857287115322855, 0.0123160725192617, 0.007396040334115117, 0.0270933960873061, 0.014779776754826446, 0.007396040334115117, 0.022156143668715433, 0.007396040334115117, 0.01477977675482578, 0.0123160725192617]","[0.007396040334115117, 0.014772407722823067, 0.012320988875106798, 0.01477977675482578, 0.024637061060163723, 0.01477977675482589, 0.024637061060163723, 0.007396040334115117, 0.009857284607820982, 0.017241020915283012]",-0.2265868012692638
10,rastrigin,19.793755311511767,21.330202364834673,2.2823062603758233,28.01797561106927,0.47267559351158717,88.46956413605274,"[16.51040609964152, -1.3986135108858235, 16.510446675967422, 23.475048650616046, 12.530635682127794, 75.21228549666168, 11.535758148114912, 27.45495632643146, 24.47000770770933, -8.36337816126666]","[33.42372674959876, 9.545147418709478, 15.515160593296706, 25.464269111764693, -35.227014172176396, -36.221927615124706, 32.42903376214554, 27.454757741763814, -35.22696855803141, -14.333122428188254]",-0.32543682180728195
10,ackley,8.418536182892078,1.222030921569301,8.611383528717663,0.8455019839640971,0.6775849579524755,-2.2907467713279797,"[8.774507269925028, 8.616267690013489, 9.285002463477799, 10.092246640313501, 8.534796097753965, 5.091860176390259, 8.191700137625443, 8.366835467650144, 8.65640493889727, 8.575740946873871]","[9.485823572138067, 8.7745201115301, 9.001065758668204, 9.41996131376057, 9.45302065603208, 6.626340339818604, 8.534790775799138, 8.616250564336251, 7.667286945902454, 8.534775249191158]",-0.16903624369084858
10,schwefel,3020.326078317173,420.86572712702406,4150.375983747157,9.094947017729282e-13,6.386444750436982e-05,-37.41483125091038,"[3110.5526181412147, 2897.5249459161396, 3315.874549503368, 2060.5651919018646, 2807.2783866318396, 3350.9964740151086, 3456.7703051810504, 3325.9174216881693, 2559.612570949371, 3318.1683192436035]","[4150.375983747156, 4150.375983747156, 4150.375983747156, 4150.375983747156, 4150.375983747156, 4150.375983747156, 4150.375983747156, 4150.375983747156, 4150.375983747156, 4150.375983747156]",-4.194740840582841
10,griewank,0.014774405739588414,0.01456327604834024,0.015516187434234819,0.006329033740765227,0.7336336437678685,-5.020720680843187,"[1.7522272521830473e-10, 0.031998722453335016, 1.4182361918191333e-07, 0.009857284670005018, 0.04183387514161152, 0.024644563811529352, 1.6028667282341758e-10, 3.768073630894264e-10, 0.014772407723303571, 0.024637061060163723]","[0.0320134276570373, 0.014772407722823067, 0.01723611191766905, 0.012320989024621087, 0.014772407722823067, 0.007396040334115117, 0.017236111917661612, 0.0123160725192617, 0.009857284611053174, 0.017241020915283012]",-0.13452076053364584
20,rastrigin,-13.792328069122622,24.649831624551553,16.155568737942282,35.256786454156064,0.08198366564857765,217.1344580780505,"[-29.7114248335074, -42.645816689222585, 11.08138388515463, -41.6508576321293, -26.726776702144782, 1.1319613982016037, 1.1318849129402864, -37.67116873769598, 34.960082322172724, -7.822548614995419]","[44.9096983559743, 19.040797582956685, 43.91472413998564, -9.812568631873873, 54.859101199538465, 25.010623372958683, -25.731873197375783, 65.80369200265432, -42.645816689222585, -13.792690756172988]",-1.0862726674374326
20,ackley,8.213124300915279,0.9115416863287681,8.734417119077623,0.7174476252305871,0.18587673236587576,-6.347070846605594,"[7.985275213734056, 7.616059745089434, 7.2095513837707745, 9.992380460195502, 9.518361606725481, 7.2942623335388515, 8.169268042001, 8.191709298303298, 8.832329412209535, 7.322045513584856]","[7.865909676905247, 8.813152819782779, 9.692879837490693, 8.851422695273818, 9.4530201656951, 8.945580298393043, 7.458356433519635, 8.55529873507296, 8.078279475420949, 9.630271053222003]",-0.730774970838869
20,schwefel,6004.447359573684,687.4835505491685,8300.751967494314,1.8189894035458565e-12,6.386444750436982e-05,-38.243396442787464,"[5713.265143210579, 6845.274256704821, 5580.729561333302, 5754.369687271302, 5635.076046592424, 5900.431076106488, 5004.273018098127, 7593.815926705597, 6105.452367730641, 5911.786511983557]","[8300.751967494312, 8300.751967494312, 8300.751967494312, 8300.751967494312, 8300.751967494312, 8300.751967494312, 8300.751967494312, 8300.751967494312, 8300.751967494312, 8300.751967494312]",-4.194740840582841
20,griewank,0.013053228614581936,0.008240554259519832,0.005174521443722846,0.005876103816829894,0.008823785373835881,60.35829755157055,"[0.012316072519288679, 0.014779794539054536, 0.012316108640921919, 0.014772407820483058, 0.009857284607820871, 0.007396058192122745, 0.03446240416945978, 3.106404022901188e-13, 0.012316083115256005, 0.01231607254110112]","[0.0123160725192617, 2.7977620220553945e-14, 0.0, 0.0, 0.007396040334424869, 0.00739604033411545, 0.0, 0.00739604033411545, 0.017241020915283012, 0.0]",-2.054345064041614
50,rastrigin,-31.77080344154728,49.325909348989214,-49.082858769870185,62.65419980172093,0.5707503880581739,-54.490454925759,"[-56.943177439541785, -19.134929875476146, -86.79132543016362, -20.130021706377647, -70.8723344350731, 12.703516762692416, -34.059251073105415, 46.531652845558895, -116.63996034133095, 27.627796277344565]","[-37.04398594826452, -39.03385789498054, 25.637893459512213, -36.04890423843932, -87.78640603333764, -182.30683305822066, -12.170018261584062, -131.56436717610552, -0.23084985848926465, 9.718741311207367]",-0.24355378455701526
50,ackley,8.793518452805802,0.5247907001731494,8.565801556074597,0.5418471469369381,0.3846730627355087,2.5895993501059946,"[9.346278597349462, 7.856197821454964, 9.001073062640117, 9.379929969417951, 8.797741303255414, 8.797739746295129, 7.952196168156057, 9.459601585406144, 8.64038448313847, 8.704041790944299]","[8.28019271883636, 7.479756546118985, 8.28019199650783, 8.20063111206968, 9.20185356034151, 8.23619136256646, 9.044920963333242, 9.131260501541288, 9.194844754636788, 8.60817204479382]",-0.41490822470156924
50,schwefel,14751.0026829607,757.9233393850404,20751.879918735776,3.637978807091713e-12,6.386444750436982e-05,-40.68114801922213,"[14069.270607224813, 14260.503410800648, 15466.011563977576, 14480.91567480866, 15461.513518061342, 13725.170880919994, 15793.297577474797, 14303.477353303466, 15844.082490024275, 14105.783753011432]","[20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578, 20751.87991873578]",-4.194740840582841
50,griewank,0.004188418565636132,0.0054021822756712525,0.006160004648183703,0.005425026903714483,0.7331503112076126,-47.072315742277574,"[4.762579974837422e-08, 0.009857284890370188, 1.8205480789568185e-08, 8.674102436323494e-09, 8.083388848278972e-07, 0.009857303679020268, 0.014772619986725188, 7.771561172376096e-16, 0.007396041579386892, 5.267659020091742e-08]","[0.0, 0.009857284607820871, 0.007396040334115117, 0.0, 0.0, 0.014772407722823067, 0.007396040334115117, 0.012320988875106798, 0.009857284607820871, 3.519406988061746e-14]",-0.13480697674255476
