step,Adam,Hybrid v3.9
0,50.90108109303324,61.24667772862005
1,48.88341860526188,78.59328830850383
2,46.80091972399313,22.90336522183646
3,44.66167518223813,77.95609579359896
4,42.47352624654727,96.84116823394301
5,40.244240073474224,113.94580413185459
6,37.981588037023855,77.4246802811041
7,35.69336380464007,82.89797065629598
8,33.38736286335107,124.84859431151699
9,31.071336043806202,130.55070187865113
10,28.752925614911145,115.58943028854014
11,26.439591250134757,57.05658886475737
12,24.138533160656554,89.5003134306461
13,21.85662011816063,87.81574588558097
14,19.60033036727978,132.49453755657026
15,17.375713075769724,98.27909275331828
16,15.188376610877485,91.94650723463556
17,13.04350736032328,124.99509272463978
18,10.945919112564262,150.79859880271073
19,8.900128597038508,162.9472910840524
20,6.910448398212864,167.36281959705647
21,4.9810849850664525,116.49888880001264
22,3.116227819521855,98.23201948033743
23,1.3201158416427727,65.19110700631249
24,-0.40292999743081914,78.16776809837404
25,-2.0485155855413737,86.7128401943556
26,-3.612226644177074,94.69247380244403
27,-5.089723943257248,94.15915827050927
28,-6.476874686324354,108.45199671239563
29,-7.769910792384046,98.55590187942629
30,-8.96560261331495,97.05632811933887
31,-10.061435478296097,110.20996983739114
32,-11.055776284391726,92.92523903612529
33,-11.948018059669959,149.66425074521447
34,-12.73869189828941,122.01970176978567
35,-13.42953777547038,104.06484440464342
36,-14.023528346971922,125.19598767233347
37,-14.524842760459578,115.15236325047776
38,-14.938790580975805,124.4562336911202
39,-15.271688976975895,121.65785002749027
40,-15.530699139356894,39.10812661815823
41,-15.723630326905663,100.82391170797493
42,-15.858721773099841,64.1179453117889
43,-15.944413806110823,119.30273389465499
44,-15.989119832010424,128.41602450556536
45,-16.001010288087627,144.86324091331053
46,-15.987818351101467,83.493604859427
47,-15.956675230482809,90.56174067095208
48,-15.913980501971686,62.35118424006156
49,-15.865310391563085,29.79245715648962
50,-15.81536444918462,46.95274624618868
51,-15.767948864609544,22.529344399215802
52,-15.725992920297621,49.105935855855165
53,-15.69159381999335,60.237721502229604
54,-15.666084382837148,30.213447710229257
55,-15.650117802661498,64.87204767324916
56,-15.643763760852977,54.02459286145441
57,-15.646610555720166,63.51030751615478
58,-15.65786848140963,149.43917141199034
59,-15.676470376929593,127.48284929501608
60,-15.701166008818959,116.0860267185408
61,-15.73060770348718,104.07796569523354
62,-15.763425374729195,68.93801101792249
63,-15.79828977587734,70.83527008156108
64,-15.833963428838924,109.16179484702417
65,-15.869339232772585,104.72915905394194
66,-15.90346722547094,166.00802568565854
67,-15.93557035540681,161.0998003878045
68,-15.965050419296524,217.83803270545405
69,-15.991485529214955,273.2310813368197
70,-16.01462059802018,342.5941725583267
71,-16.034352378265638,377.2640580952893
72,-16.05071056661538,441.2104794214478
73,-16.06383640376363,318.9847410493139
74,-16.073960071037504,348.88412034846414
75,-16.081378021839864,254.68165736938835
76,-16.086431201321975,224.6825486905515
77,-16.08948491282948,206.55689524752526
78,-16.090910895109417,134.9890016122073
79,-16.09107198869726,108.58842473318002
80,-16.0903096001208,64.66884771676325
81,-16.088934023375927,66.32470971899218
82,-16.087217552432392,34.711123317285164
83,-16.085390217443145,24.35220570932944
84,-16.083637900504165,44.844907973598254
85,-16.082102532748515,80.1413551023503
86,-16.080884040988693,67.67878639093344
87,-16.080043696357237,57.18184904451168
88,-16.07960851663151,43.797194132860426
89,-16.0795763854703,88.3785454716194
90,-16.079921573194,91.14159958355432
91,-16.080600372867483,95.08233368309962
92,-16.08155660044521,62.5988448217787
93,-16.082726746989493,43.86338117711582
94,-16.084044613000927,65.59208046100059
95,-16.085445298301245,62.322517208670746
96,-16.086868464301844,4.802977894730448
97,-16.088260827497223,4.323057191588195
98,-16.08957788228372,9.348866572352255
99,-16.090784886433553,16.46123048087402
100,-16.091857172604676,4.323057191588195
101,-16.092779873206993,2.586731482490068
102,-16.093547163131618,0.9939317379287331
103,-16.09416113498182,-0.4828074845296726
104,-16.09463042459482,-1.8469357779235764
105,-16.094968701257763,-3.0876344366551436
106,-16.095193127890802,-4.201740732772432
107,-16.095322882667077,-5.197565866476559
108,-16.095377816344588,-6.091709948318826
109,-16.095377300383774,-6.9009529508401855
110,-16.095339301110144,-7.6376532478781485
111,-16.095279696054973,-8.310047829996531
112,-16.095211831292268,-8.923662430966402
113,-16.09514630396547,-9.482363856753388
114,-16.09509094285707,-9.988280181874881
115,-16.095050952088307,-10.441018121964689
116,-16.095029178846236,-10.837980429444947
117,-16.095026465160963,-11.176141426685504
118,-16.095042045734555,-11.454050203067979
119,-16.095073958042708,-11.672998177932474
120,-16.09511943670785,-11.836904806010796
121,-16.095175270778917,-11.951296688979674
122,-16.095238109401976,-12.022408805972727
123,-16.095304707871207,-12.056972378217303
124,-16.09537211178225,-12.062356395533055
125,-16.095437781682193,-12.046472426923575
126,-16.095499664076154,-12.01713877178804
127,-16.09555621689394,-11.98113572130594
128,-16.09560639863286,-11.943569799621688
129,-16.095649630545623,-11.907913509618062
130,-16.095685740653373,-11.87649945409315
131,-16.09571489726875,-11.850978900074995
132,-16.09573753834077,-11.832435840716535
133,-16.09575430147795,-11.821257819890192
134,-16.095765958124417,-11.817120701599727
135,-16.095773354160393,-11.819269813544093
136,-16.095777358229356,-11.826918137502105
137,-16.095778818373702,-11.839451343571241
138,-16.09577852706684,-11.856320538147568
139,-16.09577719442082,-11.876806354994322
140,-16.095775429170672,-11.89993665151123
141,-16.095773726936542,-11.924635712752401
142,-16.095772465196674,-11.949932936932349
143,-16.09577190433631,-11.975030700002996
144,-16.09577219405272,-11.999216865009274
145,-16.095773384292805,-12.021784095495875
146,-16.09577543978766,-12.04208678319813
147,-16.09577825714529,-12.059684302518768
148,-16.095781683389703,-12.074414928391029
149,-16.095785534811338,-12.086326837132034
150,-16.09578961503255,-12.095550148904405
151,-16.09579373130053,-12.10224041312636
152,-16.09579770819263,-12.106617287494721
153,-16.095801398146293,-12.109007241215927
154,-16.095804688486655,-12.109810686811176
155,-16.095807504898325,-12.109419828083936
156,-16.095809811548122,-12.108173799412043
157,-16.09581160829142,-12.106382924972817
158,-16.095812925567188,-12.10436566305247
159,-16.095813817694946,-12.102433847814481
160,-16.095814355324936,-12.1008349269677
161,-16.095814617764454,-12.099714294025574
162,-16.095814685816684,-12.09913097044597
163,-16.095814635637744,-12.099094466297771
164,-16.095814533959768,-12.099576907343504
165,-16.095814434860664,-12.100501491160564
166,-16.095814378100485,-12.101745552046989
167,-16.095814388905964,-12.103175221965948
168,-16.09581447897655,-12.104683986966897
169,-16.095814648415004,-12.106201891023222
170,-16.09581488825334,-12.10767902190291
171,-16.095815183248018,-12.109073030137758
172,-16.095815514651775,-12.11035390318079
173,-16.095815862723818,-12.111509700318443
174,-16.095816208807786,-12.112537061930844
175,-16.095816536878566,-12.113425414417442
176,-16.095816834526367,-12.114154717936458
177,-16.09581709340504,-12.114708716800521
178,-16.095817309215168,-12.115086631857288
179,-16.095817481321944,-12.115302037510084
180,-16.095817612120577,-12.115376359082333
181,-16.09581770626191,-12.115338115503015
182,-16.09581776983959,-12.115225574752401
183,-16.095817809621508,-12.115082826396723
184,-16.095817832385492,-12.114948562581368
185,-16.095817844395885,-12.114847621255187
186,-16.09581785103606,-12.114791561143228
187,-16.09581785659376,-12.11478329239926
188,-16.09581786418296,-12.114818880424345
189,-16.095817875777275,-12.114887638851307
190,-16.095817892326284,-12.114975526813943
191,-16.095817913925437,-12.115071221019122
192,-16.095817940013376,-12.115169174527715
193,-16.095817969574682,-12.115267587456415
194,-16.09581800133106,-12.115365353102696
195,-16.09581803390953,-12.11546151577014
196,-16.09581806598071,-12.115555721691507
197,-16.09581809636427,-12.115647059490392
198,-16.095818124101534,-12.115732406771777
199,-16.095818148497525,-12.115807017034896
